num,indID,mat,pop,lat,lon,state,region,pc1,trt,blockNum,blockID,nigrescens,bolted,dryWeight,stemHeight,stemWidth,closedCap,openCap,numSeed,numSeedCap,leafFreshWt,leafTurgWt,leafDryWt,RWC,boltDate,flowerDate,boltJulian,boltExpDays,flowerJulian,flowerExpDays,chlor_1,chlor_2,chlor_3,chlor_4,chlor_5,chlor_6,chlor_7,chlor_8
11,AP-7-1,AP-7,AP,45.80877,-121.27622,WA,US,2.000652915,C,C1,C1-11,0,1,23.54,57.7,4.18,6,0,0,0,1.07,1.13,0.21,93.47826087,6/13/2022,NA,164,35,NA,NA,48.2,31.7,40.6,46.9,41.7,44.7,43.6,38.4
12,SP4-4-4,SP4-4,SP4,43.025217,-5.825167,SP,EU,0.434514309,C,C1,C1-12,0,1,21.34,42.8,2.8,6,3,7,2,0.71,0.73,0.13,96.66666667,5/9/2022,5/29/2022,129,0,149,20,44.7,49.8,53,47,49.8,49.6,41.1,39.6
13,SP2-13-1,SP2-13,SP2,43.536733,-6.520533,SP,EU,2.178756034,C,C1,C1-13,0,1,23.51,58.7,3.67,4,1,0,2,0.7,0.76,0.14,90.32258065,5/16/2022,6/28/2022,136,7,179,50,33.9,37.5,44.6,39.9,37.4,34.6,37.2,37.2
14,DR-11-3,DR-11,DR,43.655301,-123.333033,OR,US,4.200970886,C,C1,C1-14,0,1,27.69,47.9,3.52,22,3,72,2,0.3,0.3,0.06,100,5/15/2022,6/11/2022,135,6,162,33,47.8,51.1,45.4,39.9,47.1,39.7,33.5,31.6
15,DR-2-1,DR-2,DR,43.655301,-123.333033,OR,US,4.200970886,C,C1,C1-15,0,1,26.14,55.8,3.82,14,3,13,2,0.85,0.96,0.18,85.8974359,5/18/2022,6/26/2022,138,9,177,48,44.8,41.2,46.6,43.5,48.6,50.7,50.2,49.1
16,JC-15-4,JC-15,JC,48.16472222,-123.2997222,WA,US,1.486506186,C,C2,C2-1,0,1,23.63,55.8,4.94,20,3,0,0,0.19,0.24,0.03,76.19047619,5/24/2022,NA,144,15,NA,NA,49.7,51.1,53.9,56.2,54,55.6,49.5,46.3
17,NOR5-8-1,NOR5-8,NOR5,59.435433,10.494067,NOR,EU,-3.336593887,C,C2,C2-2,0,0,21.81,NA,NA,NA,NA,NA,NA,0.33,0.36,0.07,89.65517241,NA,NA,NA,NA,NA,NA,43.5,41.2,44.1,40.7,37.4,37.5,36.4,38.3
18,WC-9-2,WC-9,WC,47.241995,-120.696261,WA,US,-0.008288374,C,C2,C2-3,0,1,23.3,50.3,4.21,12,6,1,2,0.58,0.6,0.11,95.91836735,5/23/2022,6/28/2022,143,14,179,50,43.8,42.5,57.5,53.7,46.4,50.7,51.5,47.9
19,AP-12-1,AP-12,AP,45.80877,-121.27622,WA,US,2.000652915,C,C2,C2-4,0,1,21.16,38.9,3.07,2,18,52,2,0.72,0.78,0.1,91.17647059,5/19/2022,6/18/2022,139,10,169,40,19.6,39.3,41.5,45.7,41.6,41.1,44.4,43.8
20,NOR5-5-4,NOR5-5,NOR5,59.435433,10.494067,NOR,EU,-3.336593887,C,C2,C2-5,0,0,19.73,NA,NA,NA,NA,NA,NA,1.24,1.3,0.25,94.28571429,NA,NA,NA,NA,NA,NA,41.2,42.1,49.2,53.5,55.1,54.4,43.7,46.4
21,AP-14-3,AP-14,AP,45.80877,-121.27622,WA,US,2.000652915,C,C2,C2-6,0,1,23.41,44.8,2.7,21,15,54,2,0.24,0.27,0.05,86.36363636,5/15/2022,6/18/2022,135,6,169,40,39.4,28.2,34.8,48.8,44.3,44,45.7,40.6
22,GER4-2-3,GER4-2,GER4,48.624617,8.640133,GER,EU,-2.434491549,C,C2,C2-7,0,0,24.14,NA,NA,NA,NA,NA,NA,0.61,0.68,0.14,87.03703704,NA,NA,NA,NA,NA,NA,46.3,46.1,43.4,42,39.6,36.6,37.4,36.8
23,FR3-8-4,FR3-8,FR3,45.406583,5.42325,FR,EU,-1.632805986,C,C2,C2-8,1,1,25.53,65.5,4.49,6,13,81,2,0.46,0.49,0.15,91.17647059,5/15/2022,6/11/2022,135,6,162,33,40.9,42.6,49.3,43.3,46.2,38.6,38.7,39.8
24,HL-4-3,HL-4,HL,45.909633,-122.616945,WA,US,3.617706732,C,C2,C2-9,0,1,21.37,36.1,3.47,14,9,24,2,0.69,0.78,0.14,85.9375,5/9/2022,6/2/2022,129,0,153,24,47,50.6,51.2,52.5,51.8,46.7,49.1,47.5
25,SP4-1-1,SP4-1,SP4,43.025217,-5.825167,SP,EU,0.434514309,C,C2,C2-10,0,1,22.03,63.7,3.73,6,2,0,2,0.37,0.43,0.07,83.33333333,6/1/2022,NA,152,23,NA,NA,39.8,40.1,39.1,40.4,37,33.3,38,39.4
26,IL-5-6,IL-5,IL,47.168389,-123.113595,WA,US,3.756822763,C,C2,C2-11,0,1,24.7,54.1,3.16,10,18,2,2,0.22,0.28,0.06,72.72727273,5/17/2022,6/20/2022,137,8,171,42,41.3,43.1,45.3,38.9,43.3,41.3,51.9,35.9
27,SE-13-3,SE-13,SE,42.27916,-123.641852,OR,US,4.77412624,C,C2,C2-12,0,1,27.98,64.3,3.68,11,2,0,2,0.47,0.49,0.1,94.87179487,5/31/2022,NA,151,22,NA,NA,35,39,37.3,37.1,36.1,35.9,42.7,47.9
28,HL-1-4,HL-1,HL,45.909633,-122.616945,WA,US,3.617706732,C,C2,C2-13,0,1,25.68,43.5,3.38,6,22,45,2,0.38,0.39,0.09,96.66666667,5/9/2022,6/8/2022,129,0,159,30,34.9,41.6,39,37.5,37.5,35.1,43.2,39
29,TR-10-4,TR-10,TR,48.94619,-122.35244,WA,US,1.179044273,C,C2,C2-14,0,0,16.25,NA,NA,NA,NA,NA,NA,0.28,0.3,0.05,92,NA,NA,NA,NA,NA,NA,37.5,35.9,37,41.8,31.8,23,37.4,49.5
30,DR-1-2,DR-1,DR,43.655301,-123.333033,OR,US,4.200970886,C,C2,C2-15,0,1,24.82,48.9,3.55,10,0,0,0,0.38,0.4,0.06,94.11764706,6/16/2022,NA,167,38,NA,NA,42.7,49.7,47,44.2,47.1,47.9,45.8,45.8
31,HO-2-4,HO-2,HO,44.224196,-123.511671,OR,US,4.323314778,C,C3,C3-1,0,1,26.09,50.4,3.63,3,5,30,2,0.67,0.73,0.12,90.16393443,5/17/2022,6/22/2022,137,8,173,44,48.8,46.4,50.6,49.4,43.1,45.5,43,38.4
